Рейтинг регионов по количеству объявлений о продаже,Изменение рейтинга регионов по количеству объявлений о продаже,Регион,Активных объявлений о продаже,"Активных объявлений, вторичка","Активных объявлений, новостройки","Средняя стоимость м², вторичка","Средняя стоимость м², новостройки","Средний срок экспозиции, вторичка, дней",Рейтинг регионов по количеству заявок на кредит,Изменение рейтинга регионов по количеству заявок на кредит,Минимальное количество одобренных заявок,Доля онлайн-заявок,Доля заявок в офисе банка,"Доля заявок, новостройки","Доля заявок, вторичка","Средний срок одобрения, мин",Рейтинг по количеству ипотечных сделок,Изменение рейтинга по количеству ипотечных сделок,Минимальное количество ипотечных сделок,"Доля сделок, новостройки","Доля сделок, вторичка",Доля сделок с риелтором,"Средний срок сделки, новостройки, дней","Средний срок сделки, вторичка"
22,1,Саратовская Область,23559,12975,2458,69412,73240,56.6666666666667,28,-5,1000,43%,57%,5%,83%,1,24,2,1000,9%,88%,91%,16.9583333333333,35.9166666666667
23,-1,Самарская Область,23309,10108,6157,82459,87995,63.9583333333333,6,6,5000,26%,74%,7%,82%,1,15,1,1000,17%,79%,88%,16.3333333333333,34.625
24,0,Пермский Край,22721,8414,7232,74163,114016,54.6666666666667,9,-2,5000,33%,67%,12%,69%,1,11,1,1000,24%,73%,88%,21.3333333333333,36.3333333333333
25,2,Приморский Край,21998,5075,13111,123404,153704,74.625,27,-1,1000,51%,49%,22%,60%,1,25,-1,1000,29%,63%,83%,19.1666666666667,32.125
26,0,Владимирская Область,21863,9570,1774,73333,85578,78,34,-2,1000,47%,53%,8%,73%,1,42,0,500,12%,84%,89%,19.8333333333333,34.2916666666667
27,2,Кемеровская Область,20807,11676,1899,80752,95410,75.0833333333333,22,0,1000,48%,52%,6%,83%,1,21,0,1000,12%,86%,89%,22.7916666666667,35.5
28,0,Волгоградская Область,20567,9218,3624,75290,79401,83.2083333333333,23,1,1000,45%,55%,10%,74%,1,27,1,500,19%,79%,87%,21.5833333333333,33.3333333333333
29,-4,Калужская Область,19616,8219,1756,92843,93325,72.5416666666667,38,1,1000,35%,65%,8%,72%,1,44,0,500,18%,77%,83%,18.125,34.3333333333333
30,0,Пензенская Область,19196,9582,5788,79310,78136,77.9166666666667,36,1,1000,32%,68%,17%,61%,1,38,7,500,35%,63%,87%,17.2916666666667,31.5416666666667
31,0,Оренбургская Область,17349,8076,2494,59955,66955,50.5,24,1,1000,40%,60%,9%,76%,1,23,0,1000,10%,88%,89%,23.25,34.0416666666667
32,0,Тульская Область,16809,6490,3345,85915,91625,71.2083333333333,37,-2,1000,34%,66%,10%,72%,1,34,2,500,17%,79%,86%,17.25,31.9166666666667
33,0,Ярославская Область,16752,7269,2556,76871,92336,68.5833333333333,40,0,1000,46%,54%,10%,66%,1,35,-4,500,22%,71%,87%,18.3333333333333,35.2916666666667
34,1,Омская Область,16249,9143,1743,85672,110805,66.8333333333333,31,-1,1000,49%,51%,7%,77%,1,33,2,500,9%,88%,86%,17.125,34.875
35,-1,Тверская Область,15487,6457,2450,83678,96477,65.75,45,-4,1000,43%,57%,11%,67%,1,39,-1,500,16%,81%,84%,23.75,30.4583333333333
36,0,Вологодская Область,15020,6382,3272,73744,92842,70.875,42,-6,1000,36%,64%,10%,70%,1,37,-4,500,22%,72%,94%,20.375,34.1666666666667
37,1,Томская Область,14939,10525,1135,98425,100872,84.7083333333333,57,-3,1000,61%,39%,11%,69%,1,53,2,100,10%,88%,68%,21.1666666666667,35.9166666666667
38,-1,Рязанская Область,14596,4149,7252,79227,91868,69.875,33,10,1000,30%,70%,13%,74%,1,40,0,500,35%,62%,88%,18.5833333333333,33.9583333333333
